Date,Open,High,Low,Close,Volume
2022-02-23,100.39,101.31,100.29,101.09,1589010
2022-02-24,101.09,101.88,100.90,101.67,1057618
2022-02-25,101.67,102.91,101.40,102.61,1777250
2022-02-28,102.61,102.65,101.39,101.75,2352629
2022-03-01,101.75,103.33,101.10,103.27,1138561
2022-03-02,103.27,103.29,102.29,102.61,2247176
2022-03-03,102.61,102.69,102.36,102.38,1907525
2022-03-04,102.38,102.86,101.42,101.99,1887157
2022-03-07,101.99,103.36,101.83,103.22,2418871
2022-03-08,103.22,103.96,102.72,103.53,2086032
2022-03-09,103.53,103.96,102.59,103.58,1209250
2022-03-10,103.58,104.97,103.56,104.36,1885567
2022-03-11,104.36,104.93,103.62,103.65,858588
2022-03-14,103.65,104.42,103.48,104.04,1522009
2022-03-15,104.04,106.31,103.77,105.53,1532995
2022-03-16,105.53,106.71,105.48,106.62,1212522
2022-03-17,106.62,107.69,106.28,107.48,2079812
2022-03-18,107.48,108.58,107.12,108.24,977793
2022-03-21,108.24,108.33,106.55,106.70,1614818
2022-03-22,106.70,107.72,106.48,107.15,2454936
2022-03-23,107.15,107.42,107.04,107.32,2313776
2022-03-24,107.32,107.54,105.99,106.52,1156523
2022-03-25,106.52,106.60,106.02,106.02,2039023
2022-03-28,106.02,107.75,105.51,107.23,1534857
2022-03-29,107.23,107.48,106.62,106.99,844872
2022-03-30,106.99,109.94,106.74,109.86,1092029
2022-03-31,109.86,110.51,108.44,108.73,1242587
2022-04-01,108.73,109.48,108.14,109.44,1483649
2022-04-04,109.44,109.46,109.03,109.39,1074881
2022-04-05,109.39,111.23,108.98,111.02,1883726
2022-04-06,111.02,111.71,109.64,110.01,1852034
2022-04-07,110.01,110.55,109.30,110.40,2428451
2022-04-08,110.40,110.41,110.18,110.21,2475981
2022-04-11,110.21,110.69,110.08,110.53,929510
2022-04-12,110.53,110.72,109.73,110.11,1964846
2022-04-13,110.11,110.18,108.09,108.18,1201198
2022-04-14,108.18,108.28,107.30,107.89,1864753
2022-04-15,107.89,107.91,107.50,107.60,1482861
2022-04-18,107.60,107.92,107.04,107.31,1874080
2022-04-19,107.31,107.82,106.68,107.55,1864832
2022-04-20,107.55,108.06,107.22,107.41,1344404
2022-04-21,107.41,109.77,107.30,109.43,1673751
2022-04-22,109.43,110.81,109.17,110.54,952140
2022-04-25,110.54,110.87,109.88,109.95,1056586
2022-04-26,109.95,110.98,109.83,110.82,2301812
2022-04-27,110.82,111.08,110.13,110.13,1780913
2022-04-28,110.13,110.85,109.28,110.69,1635205
2022-04-29,110.69,111.28,110.57,111.14,2281267
2022-05-02,111.14,111.52,110.24,110.42,1511178
2022-05-03,110.42,110.58,109.19,109.47,1508794
2022-05-04,109.47,110.36,109.34,110.00,837920
2022-05-05,110.00,110.28,108.72,108.97,1036663
2022-05-06,108.97,112.23,108.91,111.62,1019738
2022-05-09,111.62,112.48,111.44,112.34,2384978
2022-05-10,112.34,112.59,111.64,111.91,2217619
2022-05-11,111.91,112.48,111.45,112.23,1996624
2022-05-12,112.23,114.49,112.22,114.18,1385236
2022-05-13,114.18,115.90,114.06,115.71,835298
2022-05-16,115.71,116.28,115.24,115.86,975620
2022-05-17,115.86,116.02,115.19,115.21,824214
2022-05-18,115.21,115.97,114.83,115.73,1361742
2022-05-19,115.73,115.80,115.24,115.45,1138583
2022-05-20,115.45,115.47,112.68,112.90,1454295
2022-05-23,112.90,113.21,111.83,111.93,2209615
2022-05-24,111.93,113.18,111.64,113.04,838090
2022-05-25,113.04,113.30,112.63,113.30,1197319
2022-05-26,113.30,113.67,113.28,113.41,1737543
2022-05-27,113.41,115.37,113.04,114.97,1624361
2022-05-30,114.97,115.76,114.91,115.46,1251267
2022-05-31,115.46,116.46,115.19,116.42,2133740
2022-06-01,116.42,117.09,114.07,114.88,914061
2022-06-02,114.88,114.99,114.37,114.94,1703328
2022-06-03,114.94,115.02,113.16,113.29,1598766
2022-06-06,113.29,114.76,113.24,114.38,1414588
2022-06-07,114.38,115.36,114.32,115.14,1364210
2022-06-08,115.14,115.23,113.38,114.29,1947296
2022-06-09,114.29,114.33,113.47,113.55,1449169
2022-06-10,113.55,113.87,113.48,113.65,1384956
2022-06-13,113.65,114.24,113.65,114.01,1858507
2022-06-14,114.01,114.20,113.93,114.05,2030610
2022-06-15,114.05,114.12,113.43,113.45,1438047
2022-06-16,113.45,113.56,112.43,113.09,1125587
2022-06-17,113.09,113.39,112.02,112.48,2051075
2022-06-20,112.48,112.68,111.49,111.69,2318664
2022-06-21,111.69,111.83,111.46,111.59,2299486
2022-06-22,111.59,113.06,111.53,112.75,1092149
2022-06-23,112.75,113.24,110.40,110.71,1992187
2022-06-24,110.71,112.22,110.50,111.68,2291465
2022-06-27,111.68,111.90,109.86,110.35,1282220
2022-06-28,110.35,110.64,109.77,110.59,1589825
2022-06-29,110.59,110.82,108.06,108.44,2116523
2022-06-30,108.44,109.79,108.43,109.74,1758290
2022-07-01,109.74,110.73,109.18,110.56,1854806
2022-07-04,110.56,111.00,109.99,110.91,1793753
2022-07-05,110.91,110.91,110.43,110.57,1356915
2022-07-06,110.57,111.30,110.51,110.71,1765403
2022-07-07,110.71,112.59,110.70,112.25,1804557
2022-07-08,112.25,113.13,111.78,112.98,1215844
2022-07-11,112.98,113.56,112.89,113.39,1332551
2022-07-12,113.39,113.83,112.23,112.37,1811709
2022-07-13,112.37,112.63,111.82,111.92,2209289
2022-07-14,111.92,112.64,111.37,112.50,1398828
2022-07-15,112.50,112.95,112.41,112.57,1048518
2022-07-18,112.57,113.94,112.51,113.92,1791837
2022-07-19,113.92,115.10,113.75,114.47,1742566
2022-07-20,114.47,115.69,113.77,115.68,956474
2022-07-21,115.68,115.85,114.44,114.53,1899045
2022-07-22,114.53,114.90,114.14,114.57,1386296
2022-07-25,114.57,114.98,113.39,113.75,1285246
2022-07-26,113.75,113.76,111.46,111.62,1831161
2022-07-27,111.62,112.29,111.30,112.14,2325012
2022-07-28,112.14,113.15,111.87,112.90,803651
2022-07-29,112.90,115.09,112.62,114.95,1635210
2022-08-01,114.95,117.45,114.78,116.90,1407823
2022-08-02,116.90,116.90,114.58,114.71,1618227
2022-08-03,114.71,116.30,114.47,116.30,1377042
2022-08-04,116.30,117.48,116.07,117.31,908249
2022-08-05,117.31,118.14,117.07,117.89,1357272
2022-08-08,117.89,118.17,117.56,117.68,2421483
2022-08-09,117.68,118.31,115.40,115.88,2123084
2022-08-10,115.88,116.46,114.24,114.66,1962143
2022-08-11,114.66,114.83,112.57,113.11,1745522
2022-08-12,113.11,113.92,112.98,113.78,1400222
2022-08-15,113.78,113.85,111.29,111.49,1670038
2022-08-16,111.49,111.65,111.16,111.40,2349863
2022-08-17,111.40,111.92,111.19,111.41,1813306
2022-08-18,111.41,112.31,111.29,111.98,1150921
2022-08-19,111.98,112.09,111.19,111.83,1954244
2022-08-22,111.83,112.08,111.08,111.94,2392258
2022-08-23,111.94,112.00,111.44,111.49,1517132
2022-08-24,111.49,112.35,111.38,112.06,1572392
2022-08-25,112.06,112.56,111.62,112.11,1665665
2022-08-26,112.11,112.54,110.65,111.04,1240412
2022-08-29,111.04,111.26,110.19,110.45,1555279
2022-08-30,110.45,111.20,110.16,110.91,2120423
2022-08-31,110.91,112.23,110.29,111.57,1606482
2022-09-01,111.57,113.29,111.35,112.98,1454345
2022-09-02,112.98,114.98,112.89,114.40,2287954
2022-09-05,114.40,114.61,113.77,114.56,2031398
2022-09-06,114.56,114.57,113.52,114.25,1907005
2022-09-07,114.25,114.83,112.56,113.30,1321069
2022-09-08,113.30,113.82,112.76,113.58,1028359
2022-09-09,113.58,116.62,113.38,116.10,2157587
2022-09-12,116.10,118.16,115.58,117.55,802864
2022-09-13,117.55,118.69,117.30,118.64,878835
2022-09-14,118.64,118.88,118.01,118.19,2134399
2022-09-15,118.19,119.46,117.96,118.91,1008550
2022-09-16,118.91,120.42,118.61,120.24,1268887
2022-09-19,120.24,120.24,119.80,119.82,1927169
2022-09-20,119.82,120.19,119.06,119.55,1308260
2022-09-21,119.55,119.80,119.23,119.27,1318118
2022-09-22,119.27,120.57,119.20,120.50,1207089
2022-09-23,120.50,121.02,120.31,120.32,1680837
2022-09-26,120.32,121.25,120.02,121.13,1833777
2022-09-27,121.13,122.04,121.06,121.73,1681971
2022-09-28,121.73,122.00,120.84,121.13,1858806
2022-09-29,121.13,121.66,120.96,121.29,1220298
2022-09-30,121.29,121.89,120.61,120.64,2394822
2022-10-03,120.64,121.66,120.53,121.53,2107777
2022-10-04,121.53,121.54,120.88,120.94,2195223
2022-10-05,120.94,122.63,120.78,122.19,1625145
2022-10-06,122.19,122.57,121.89,122.54,2288681
2022-10-07,122.54,123.13,121.55,122.01,1458925
2022-10-10,122.01,123.22,121.44,121.72,1189047
2022-10-11,121.72,121.97,121.08,121.43,1780661
2022-10-12,121.43,123.24,121.19,123.14,1495620
2022-10-13,123.14,124.16,123.08,124.00,964085
2022-10-14,124.00,124.32,123.76,123.93,2391329
2022-10-17,123.93,124.02,123.57,123.89,1447389
2022-10-18,123.89,124.86,123.51,124.52,1581638
2022-10-19,124.52,125.39,124.42,125.02,1478028
2022-10-20,125.02,125.58,123.25,123.60,2111576
2022-10-21,123.60,123.94,123.50,123.93,873094
2022-10-24,123.93,124.07,121.91,122.12,931809
2022-10-25,122.12,122.78,121.93,122.52,1371085
2022-10-26,122.52,123.27,120.69,121.25,2246148
2022-10-27,121.25,121.97,120.99,121.86,807909
2022-10-28,121.86,122.32,121.43,121.72,937011
2022-10-31,121.72,121.97,119.30,119.34,1796543
2022-11-01,119.34,119.72,119.10,119.20,1701645
2022-11-02,119.20,119.27,117.23,117.40,1841321
2022-11-03,117.40,118.91,117.35,118.33,2420698
2022-11-04,118.33,118.48,116.20,116.41,1470142
2022-11-07,116.41,116.56,114.31,114.66,1621423
2022-11-08,114.66,114.66,113.77,114.03,935754
2022-11-09,114.03,114.35,113.21,113.41,1694549
2022-11-10,113.41,114.18,112.66,113.35,1355517
2022-11-11,113.35,113.52,112.02,112.94,1737349
2022-11-14,112.94,114.71,112.77,114.62,1766627
2022-11-15,114.62,114.98,113.53,113.54,2193400
2022-11-16,113.54,113.58,110.92,111.53,1416402
2022-11-17,111.53,111.97,110.86,111.26,1217731
2022-11-18,111.26,112.88,111.18,112.67,1293887
2022-11-21,112.67,114.69,112.40,114.09,1630618
2022-11-22,114.09,114.09,113.49,113.75,1903749
2022-11-23,113.75,114.73,113.14,114.10,1014606
2022-11-24,114.10,114.82,111.43,111.45,1284680
2022-11-25,111.45,113.53,111.17,112.88,1050015
2022-11-28,112.88,113.68,112.73,113.23,2023045
2022-11-29,113.23,113.63,113.01,113.50,2064671
2022-11-30,113.50,113.61,112.89,113.57,813294
2022-12-01,113.57,115.15,113.39,114.86,1573237
2022-12-02,114.86,114.92,114.36,114.45,1334592
2022-12-05,114.45,116.44,113.90,116.30,1486291
2022-12-06,116.30,116.58,115.20,115.38,2102360
2022-12-07,115.38,115.60,115.10,115.22,932689
2022-12-08,115.22,115.74,113.67,114.01,2192564
2022-12-09,114.01,114.16,112.46,112.64,2258371
2022-12-12,112.64,113.26,111.61,113.12,2200501
2022-12-13,113.12,113.93,112.11,112.28,1549064
2022-12-14,112.28,113.77,112.25,113.71,2407808
2022-12-15,113.71,114.89,113.53,114.88,1227121
2022-12-16,114.88,117.03,114.75,116.68,1128344
2022-12-19,116.68,117.44,116.39,117.12,1140880
2022-12-20,117.12,117.20,116.18,116.26,1098837
2022-12-21,116.26,116.85,114.28,114.69,1577715
2022-12-22,114.69,115.48,114.48,115.46,1529693
2022-12-23,115.46,115.88,114.99,115.14,1828673
2022-12-26,115.14,115.15,114.24,114.86,2487598
2022-12-27,114.86,115.18,113.97,115.01,1812371
2022-12-28,115.01,115.20,113.48,113.92,2134559
2022-12-29,113.92,114.41,111.58,112.06,1136123
2022-12-30,112.06,112.50,110.08,110.61,2102442
2023-01-02,110.61,110.99,108.70,108.81,1257466
2023-01-03,108.81,109.61,107.95,108.16,1128160
2023-01-04,108.16,108.28,107.69,107.70,1203902
2023-01-05,107.70,109.87,107.59,109.43,2388511
2023-01-06,109.43,109.89,108.46,108.62,1755742
2023-01-09,108.62,110.03,108.47,109.56,1442177
2023-01-10,109.56,109.80,108.96,108.96,1570598
2023-01-11,108.96,110.37,108.84,110.01,849021
2023-01-12,110.01,113.21,109.64,113.19,2097246
2023-01-13,113.19,113.48,112.81,113.41,1176583
2023-01-16,113.41,114.11,113.11,113.78,1566157
2023-01-17,113.78,114.48,113.57,114.16,1869885
2023-01-18,114.16,114.24,113.41,113.95,1457930
2023-01-19,113.95,115.79,113.54,115.72,913801
2023-01-20,115.72,116.46,115.36,115.71,854224
2023-01-23,115.71,116.44,113.18,114.09,2335292
2023-01-24,114.09,114.25,113.37,113.86,1403731
2023-01-25,113.86,116.26,113.65,115.51,1146263
2023-01-26,115.51,116.02,114.66,114.78,2080195
2023-01-27,114.78,116.80,114.57,116.79,2086669
2023-01-30,116.79,117.43,116.17,116.43,1806858
2023-01-31,116.43,117.48,116.17,117.41,1861173
2023-02-01,117.41,117.79,117.30,117.45,2134987
2023-02-02,117.45,118.96,117.24,118.47,1590292
2023-02-03,118.47,119.91,118.15,119.37,2134456
2023-02-06,119.37,120.80,118.66,120.23,1750090
2023-02-07,120.23,120.39,118.71,118.83,1923446
2023-02-08,118.83,119.07,118.18,118.44,2472836
2023-02-09,118.44,118.69,117.53,117.66,1493798
2023-02-10,117.66,118.10,117.28,118.07,1170684
2023-02-13,118.07,118.65,115.84,115.96,1450269
2023-02-14,115.96,117.84,115.19,117.19,2028659
2023-02-15,117.19,119.58,117.13,119.26,1264807
2023-02-16,119.26,119.55,117.02,117.41,1706458
2023-02-17,117.41,117.57,116.07,116.46,2084546
2023-02-20,116.46,116.84,116.40,116.80,805485
2023-02-21,116.80,116.92,115.48,115.91,1666623
2023-02-22,115.91,116.13,115.49,115.74,1795941
2023-02-23,115.74,115.92,115.57,115.87,1745507
2023-02-24,115.87,116.28,113.98,114.26,2195597
2023-02-27,114.26,114.86,114.26,114.51,2152552
2023-02-28,114.51,115.03,113.84,114.71,2047227
2023-03-01,114.71,115.01,113.48,114.01,1321136
2023-03-02,114.01,114.02,113.34,113.35,929034
2023-03-03,113.35,113.42,112.27,112.28,2433413
2023-03-06,112.28,113.07,111.98,112.69,2177409
2023-03-07,112.69,113.36,112.54,113.29,1863147
2023-03-08,113.29,114.97,113.00,114.75,2085939
2023-03-09,114.75,115.48,114.72,115.21,2318979
2023-03-10,115.21,115.68,114.67,115.57,813315
2023-03-13,115.57,115.83,114.65,114.77,2174748
2023-03-14,114.77,115.01,114.49,114.56,1020791
2023-03-15,114.56,115.06,113.95,114.48,2257749
2023-03-16,114.48,116.39,114.38,116.13,910169
2023-03-17,116.13,116.57,115.45,116.02,1897323
2023-03-20,116.02,117.10,115.97,116.81,1255072
2023-03-21,116.81,118.17,116.44,117.96,2360026
2023-03-22,117.96,120.14,117.76,120.08,1485499
2023-03-23,120.08,120.82,119.80,120.50,2122665
2023-03-24,120.50,121.37,119.42,119.89,1924819
2023-03-27,119.89,120.02,117.63,117.85,1716904
2023-03-28,117.85,118.10,115.76,115.83,1445400
2023-03-29,115.83,116.47,115.44,116.13,1159758
2023-03-30,116.13,116.18,115.37,115.43,1023720
2023-03-31,115.43,115.57,114.45,114.99,864738
2023-04-03,114.99,115.51,114.64,114.78,2129338
2023-04-04,114.78,115.24,114.12,115.21,2397544
2023-04-05,115.21,116.29,114.72,115.87,1919657
2023-04-06,115.87,116.30,115.35,116.22,1604976
2023-04-07,116.22,116.41,114.30,114.45,1034817
2023-04-10,114.45,117.29,113.95,117.11,983437
2023-04-11,117.11,117.33,115.72,116.16,1402648
2023-04-12,116.16,116.19,115.48,115.61,1417526
2023-04-13,115.61,115.76,113.78,114.11,843869
2023-04-14,114.11,114.76,112.08,112.64,1472825
2023-04-17,112.64,113.29,112.17,113.23,1798417
2023-04-18,113.23,114.56,112.88,114.17,1715301
2023-04-19,114.17,114.58,114.15,114.42,1783441
2023-04-20,114.42,114.84,113.92,114.07,990609
2023-04-21,114.07,116.50,113.94,116.24,1714478
2023-04-24,116.24,117.01,116.17,117.01,809147
2023-04-25,117.01,117.10,113.88,114.01,2257956
2023-04-26,114.01,114.45,113.69,114.24,1880327
2023-04-27,114.24,114.36,113.40,114.30,1395024
2023-04-28,114.30,116.12,114.28,115.36,2134903
2023-05-01,115.36,116.09,114.96,116.05,2262047
2023-05-02,116.05,116.11,115.53,115.60,1627535
2023-05-03,115.60,116.52,115.24,116.07,1685270
2023-05-04,116.07,116.34,116.00,116.29,1942815
2023-05-05,116.29,117.49,116.29,117.15,2122766
2023-05-08,117.15,117.70,116.57,117.31,2379133
2023-05-09,117.31,117.38,116.92,116.98,2019663
2023-05-10,116.98,117.16,116.43,116.71,2356060
2023-05-11,116.71,116.88,115.04,115.39,2245066
2023-05-12,115.39,116.09,115.12,115.63,2260800
2023-05-15,115.63,116.55,115.40,116.53,1432307
2023-05-16,116.53,117.27,116.11,116.62,1319215
2023-05-17,116.62,116.70,114.99,115.46,1531134
2023-05-18,115.46,116.27,115.11,116.01,2328262
2023-05-19,116.01,119.03,116.00,118.82,2179715
2023-05-22,118.82,119.93,118.20,119.72,2337826
2023-05-23,119.72,119.80,119.28,119.55,1029174
2023-05-24,119.55,119.68,119.15,119.24,871159
2023-05-25,119.24,121.00,119.19,120.32,1715465
2023-05-26,120.32,120.71,119.64,119.90,1097402
2023-05-29,119.90,119.93,118.45,119.02,811571
2023-05-30,119.02,119.78,118.50,118.91,2370976
2023-05-31,118.91,119.96,118.37,119.55,2200678
2023-06-01,119.55,120.26,119.11,119.19,1279421
2023-06-02,119.19,119.40,117.08,117.53,1751902
2023-06-05,117.53,117.64,116.55,116.78,1308341
2023-06-06,116.78,116.89,114.05,114.59,2120397
2023-06-07,114.59,116.38,114.52,115.81,1658457
2023-06-08,115.81,116.37,115.75,115.86,1183908
2023-06-09,115.86,118.00,115.72,117.96,1326853
2023-06-12,117.96,118.16,117.65,117.71,2439536
2023-06-13,117.71,118.51,117.32,118.44,1757946
2023-06-14,118.44,120.75,118.30,120.21,1874142
2023-06-15,120.21,122.24,119.99,122.18,2356317
2023-06-16,122.18,123.18,122.10,122.95,2235207
2023-06-19,122.95,123.89,122.43,123.51,2087656
2023-06-20,123.51,123.58,122.72,122.81,1375368
2023-06-21,122.81,122.89,121.86,122.55,2118195
2023-06-22,122.55,123.79,122.24,123.69,1356075
2023-06-23,123.69,124.63,122.99,124.44,1259094
2023-06-26,124.44,126.96,124.41,126.07,1769128
2023-06-27,126.07,126.42,125.96,126.24,2130220
2023-06-28,126.24,126.42,123.82,124.29,2311427
2023-06-29,124.29,125.64,123.99,124.75,2467774
2023-06-30,124.75,126.19,124.39,126.03,1417280
2023-07-03,126.03,126.67,125.96,126.16,2443314
2023-07-04,126.16,126.32,124.75,124.97,1588840
2023-07-05,124.97,125.89,123.63,123.80,2489122
2023-07-06,123.80,123.85,122.41,122.69,1313733
2023-07-07,122.69,122.94,121.68,122.17,979141
2023-07-10,122.17,122.53,121.89,122.35,1435790
2023-07-11,122.35,122.71,121.99,122.61,2444247
2023-07-12,122.61,123.01,120.38,120.53,1523832
2023-07-13,120.53,120.58,119.57,120.43,2175640
2023-07-14,120.43,120.79,119.97,120.66,2013175
2023-07-17,120.66,121.39,120.61,121.19,1120176
2023-07-18,121.19,121.28,119.88,120.22,1920973
2023-07-19,120.22,122.03,119.75,121.39,2201857
2023-07-20,121.39,121.75,119.95,120.21,2135036
2023-07-21,120.21,120.83,120.06,120.63,2355902
2023-07-24,120.63,120.91,118.95,119.39,1045326
2023-07-25,119.39,119.48,118.59,118.61,1834056
2023-07-26,118.61,119.62,118.47,119.24,1102872
2023-07-27,119.24,119.49,118.78,119.02,2340545
2023-07-28,119.02,121.00,118.99,120.33,1781384
2023-07-31,120.33,120.72,119.82,119.93,1692996
2023-08-01,119.93,121.92,119.50,121.14,958117
2023-08-02,121.14,121.91,121.10,121.61,896196
2023-08-03,121.61,121.94,120.72,121.46,1493016
2023-08-04,121.46,121.82,120.87,121.67,1103016
2023-08-07,121.67,122.42,121.55,121.88,2111302
2023-08-08,121.88,122.36,121.71,122.25,2432683
2023-08-09,122.25,122.84,121.33,121.43,1241922
2023-08-10,121.43,121.74,121.25,121.25,1406387
2023-08-11,121.25,121.81,120.62,121.64,1646682
2023-08-14,121.64,122.51,119.86,120.08,1226836
2023-08-15,120.08,120.43,118.88,119.39,1493939
2023-08-16,119.39,120.56,118.74,120.04,983660
2023-08-17,120.04,122.21,119.94,122.19,2315562
2023-08-18,122.19,122.31,120.84,121.16,1027542
2023-08-21,121.16,121.39,120.68,120.69,1796258
2023-08-22,120.69,121.01,119.28,119.47,2082911
2023-08-23,119.47,119.61,117.02,117.16,2212852
2023-08-24,117.16,117.60,116.60,116.70,2198804
2023-08-25,116.70,117.03,115.68,116.04,1164703
2023-08-28,116.04,116.76,115.45,116.63,2175139
2023-08-29,116.63,117.81,116.57,117.10,1090866
2023-08-30,117.10,117.89,117.09,117.45,1684546
2023-08-31,117.45,118.48,117.43,118.41,1987685
2023-09-01,118.41,119.04,116.40,116.83,882584
2023-09-04,116.83,117.61,116.29,117.34,1683050
2023-09-05,117.34,117.70,115.12,115.18,1611897
2023-09-06,115.18,116.19,114.57,115.27,2182856
2023-09-07,115.27,116.59,115.13,116.54,2151626
2023-09-08,116.54,117.57,116.41,116.84,2114694
2023-09-11,116.84,116.98,116.77,116.98,984841
2023-09-12,116.98,117.02,116.33,116.50,1790551
2023-09-13,116.50,118.33,116.47,118.27,1193027
2023-09-14,118.27,120.39,118.11,120.09,2367079
2023-09-15,120.09,120.76,119.61,119.63,2118318
2023-09-18,119.63,120.01,119.05,119.20,2204129
2023-09-19,119.20,120.11,118.66,120.00,823909
2023-09-20,120.00,120.67,119.37,119.64,2239986
2023-09-21,119.64,119.98,119.43,119.85,1148121
2023-09-22,119.85,122.17,119.68,121.53,2077056
2023-09-25,121.53,122.66,121.19,122.54,2219519
2023-09-26,122.54,123.00,121.24,122.03,1044748
2023-09-27,122.03,122.41,120.78,121.03,1608950
2023-09-28,121.03,121.10,119.85,120.23,1370384
2023-09-29,120.23,121.01,120.20,120.57,2165134
2023-10-02,120.57,121.17,119.94,120.98,1496338
2023-10-03,120.98,122.63,120.78,122.22,1447176
2023-10-04,122.22,123.14,121.73,122.31,1316132
2023-10-05,122.31,122.68,120.55,121.15,2493411
2023-10-06,121.15,121.66,119.62,119.78,1474288
2023-10-09,119.78,120.15,119.17,119.72,2442259
2023-10-10,119.72,120.36,118.53,118.70,1999378
2023-10-11,118.70,121.30,118.57,120.54,2429581
2023-10-12,120.54,120.97,119.08,119.17,1816620
2023-10-13,119.17,119.57,119.17,119.35,1290801
2023-10-16,119.35,119.39,116.65,116.76,1629415
2023-10-17,116.76,116.81,115.97,115.99,2460241
2023-10-18,115.99,118.11,115.70,117.78,1924392
2023-10-19,117.78,118.96,117.73,118.40,1344298
2023-10-20,118.40,120.12,118.12,119.80,1799473
2023-10-23,119.80,119.81,118.98,119.02,2490021
2023-10-24,119.02,119.55,118.70,119.45,1983697
2023-10-25,119.45,119.92,118.04,118.20,1834459
2023-10-26,118.20,118.32,117.39,117.51,2126957
2023-10-27,117.51,117.54,117.00,117.03,1388351
2023-10-30,117.03,117.31,117.02,117.24,870420
2023-10-31,117.24,118.51,116.81,117.83,1247916
2023-11-01,117.83,117.87,116.60,117.21,1693281
2023-11-02,117.21,118.37,116.81,118.15,1074525
2023-11-03,118.15,118.15,117.18,117.28,1221504
2023-11-06,117.28,118.32,117.19,118.31,1575177
2023-11-07,118.31,118.59,118.03,118.32,934607
2023-11-08,118.32,119.68,117.84,119.30,988653
2023-11-09,119.30,119.32,118.00,118.45,2143504
2023-11-10,118.45,120.92,118.23,120.50,1134974
2023-11-13,120.50,120.68,120.24,120.43,2311441
2023-11-14,120.43,120.54,120.42,120.44,1959378
2023-11-15,120.44,121.97,120.06,121.42,898654
2023-11-16,121.42,121.84,121.27,121.31,1813815
2023-11-17,121.31,121.49,119.34,119.41,2383246
2023-11-20,119.41,120.11,119.40,120.10,1725431
2023-11-21,120.10,120.11,118.42,118.59,1479306
2023-11-22,118.59,118.84,117.55,117.79,1725651
2023-11-23,117.79,118.52,117.60,118.51,2221119
2023-11-24,118.51,119.68,117.98,119.43,1129160
2023-11-27,119.43,119.65,118.25,118.36,2097410
2023-11-28,118.36,120.40,118.12,119.86,1003397
2023-11-29,119.86,121.05,119.71,120.74,845583
2023-11-30,120.74,121.02,119.51,119.86,1801470
2023-12-01,119.86,121.80,119.64,121.55,1496210
